outcosc,Kryta out post track charlie
outcosd,Kryta out post track delta
outcryc,crystal desert out post track charlie
outcryd,crystal desert out post track delta
outednc,pre searing out post track charlie
outednd,pre searing out post track delta
outovrc,Maguma jungle out post track charlie
outovrd,Maguma jungle out post track delta
outscrc,Ascalon out post track charlie
outscrd,Ascalon out post track delta
outsnwc,Shiverpeaks out post track charlie
outsnwd,Shiverpeaks out post track delta
outvolc,ring of fire out post track charlie
outvold,ring of fire out post track delta
outposc,Prophecies out post track charlie
outposd,Prophecies out post track delta
outpose,Prophecies out post track echo
outposf,Prophecies out post track foxtrot
outposr,Prophecies out post track Romeo
outposs,Prophecies out post track Sierra
outposx,Prophecies out post track X ray
outpost,Prophecies out post generic
outglda,Guild out post track alfa
outgldb,Guild out post track bravo
outrfta,Rift out post track alfa
outrftb,Rift out post track bravo
riftgld,Rift Guild
riftina,Rift I N A
snowsaa,Sorrows Furnace track alfa
snowsab,Sorrows Furnace track bravo
snowsac,Sorrows Furnace track charlie
snowdaa,Sorrows Furnace Dungeon track alfa
snowdab,Sorrows Furnace Dungeon track bravo
snowdac,Sorrows Furnace Dungeon track charlie
dungbsi,Sorrows Furnace Boss track India
dungbsa,Sorrows Furnace Boss track alfa
dungbsb,Sorrows Furnace Boss track bravo
dungbsc,Sorrows Furnace Boss track charlie
loginzh,Login zulu hotel
loginzg,Login zulu golf
loginzf,Login zulu foxtrot
loginze,Login zulu echo
loginzd,Login zulu delta
loginzc,Login zulu charlie
loginzb,Login zulu bravo
loginza,Login zulu alfa
loginzz,Login factions
loginnf,Login nightfall
loginen,Login Gwen
login,Login generic
coasada,Kryta adventuring track alfa
crysada,Crystal desert adventuring track alfa
edencva,pre searing cave track alfa
edencvb,pre searing cave track bravo
edenada,pre searing adventuring track alfa
edenadb,pre searing adventuring track bravo
fountna,Fountain track alfa
geneada,Prophecies generic adventuring track alfa
geneadb,Prophecies generic adventuring track bravo
geneadc,Prophecies generic adventuring track charlie
geneadd,Prophecies generic adventuring track delta
scorada,Ascalon adventuring track alfa
scoradb,Ascalon adventuring track bravo
snowada,Shiverpeaks adventuring track alfa
villaga,Prophecies village track alfa
volcada,Ring of fire adventuring track alfa
volcadb,Ring of fire adventuring track bravo
ruraada,Shing jay adventuring track alfa
ruraadb,Shing jay adventuring track bravo
ruraadc,Shing jay adventuring track charlie
petrada,Echovald forest adventuring track alfa
petradb,Echovald forest adventuring track bravo
seabada,Jade sea adventuring track alfa
seabadb,Jade sea adventuring track bravo
seabadc,Jade sea adventuring track charlie
